,cumulative_return,volatility,sharpe_ratio
bitcoin,-0.28631824366907965,0.4603875495604792,-0.5015809032588994
ethereum,-0.23772498883796056,0.7811056091105308,0.03982605589581572
solana,-0.571451144467235,0.8515356827906386,-0.5679639068327665
